Iteracion,Error
0,35562.6
1,26127.1
2,20717.8
3,16633.5
4,14449.5
5,14069
6,13294.8
7,11001.3
8,11181.3
9,9749.51
10,9151.05
11,8919
12,7924.33
13,7960.4
14,7239.72
15,7032.2
16,6797.55
17,6350.83
18,6381.94
19,5929.02
20,5942.33
21,5687.63
22,5554.17
23,5527.75
24,5284.62
25,5371.77
26,5142.65
27,5203.12
28,5096.94
29,5057.74
30,5097.4
31,4975.75
32,5097.73
33,4971.69
34,5081.38
35,5032.82
36,5066.21
37,5127.66
38,5082.03
39,5220.18
40,5146.96
41,5289.91
42,5258.85
43,5342.65
44,5396.76
45,5400.78
46,5530.35
47,5484.42
48,5635.79
49,5598.95
50,5709.31
51,5732.38
52,5766.33
53,5860.25
54,5827.32
55,5958.04
56,5904.07
57,6015.06
58,5993.12
59,6039.66
60,6077.74
61,6051.06
62,6136.26
63,6065.83
64,6154.42
65,6088.85
66,6134.05
67,6111.91
68,6090.51
69,6118.73
70,6042.47
71,6094.77
72,6001.25
73,6036.16
74,5966.67
75,5952.73
76,5928.93
77,5861.3
78,5875.02
79,5776.25
80,5797.27
81,5703.54
82,5698.82
83,5639.27
84,5591.54
85,5573.5
86,5489.61
87,5496.72
88,5402.32
89,5406.12
90,5330.71
91,5307.56
92,5268.83
93,5212.22
94,5207.47
95,5130.19
96,5139.88
97,5066.14
98,5066.09
99,5017.97
100,4992.49
101,4978.49
102,4928.4
103,4939.88
104,4880.33
105,4897.45
106,4849.69
107,4852.81
108,4832.38
109,4812.13
110,4820.82
111,4782.6
112,4808.4
113,4768.36
114,4792.36
115,4768.47
116,4775.28
117,4777.66
118,4762.87
119,4788.4
120,4760.54
121,4794.84
122,4770.2
123,4795.97
124,4789.24
125,4794.77
126,4811.16
127,4796.7
128,4829.15
129,4805.42
130,4838.51
131,4820.95
132,4839.29
133,4839.26
134,4835.54
135,4854.02
136,4831.92
137,4858.93
138,4830.92
139,4851.36
140,4831.31
141,4832.71
142,4828.41
143,4807.43
144,4816.39
145,4779.86
146,4790.79
147,4751.84
148,4750.94
149,4721.38
150,4700.09
151,4684.31
152,4642.92
153,4635.75
154,4583.45
155,4573.66
156,4522.92
157,4499.34
158,4459.34
159,4417.08
160,4389.16
161,4331.79
162,4309.49
163,4246.89
164,4219.88
165,4162.85
