Iteracion,Error
0,35124.1
1,25685.6
2,20320
3,16290.8
4,14135.1
5,13741.7
6,13000.5
7,10751.7
8,10917
9,9539.4
10,8944.28
11,8734.99
12,7773.6
13,7835.33
14,7146.78
15,7048.54
16,6760.52
17,6460.23
18,6364.51
19,5946.14
20,6001.27
21,5626.5
22,5723.39
23,5474.14
24,5494.45
25,5350.56
26,5264.71
27,5265.53
28,5123.34
29,5245.35
30,5083.9
31,5225.12
32,5069.48
33,5175.63
34,5101.07
35,5161.51
36,5199.03
37,5194.25
38,5298.06
39,5230.09
40,5372.14
41,5297.48
42,5460.21
43,5418.76
44,5549.59
45,5540.92
46,5610.66
47,5655.91
48,5681.55
49,5787.83
50,5773.69
51,5899.74
52,5849.81
53,5974.96
54,5928.65
55,6046.53
56,6028.11
57,6107.1
58,6108.59
59,6129.65
60,6164.24
61,6141.97
62,6214.8
63,6154.42
64,6234.73
65,6147.16
66,6217.33
67,6140.42
68,6189.19
69,6141.49
70,6143.32
71,6118.92
72,6069.85
73,6076.36
74,5998.89
75,6029.37
76,5934.79
77,5959.19
78,5857.54
79,5864.68
80,5782.15
81,5771.26
82,5716.27
83,5676.29
84,5640.79
85,5572.68
86,5559.03
87,5478.64
88,5483
89,5397.04
90,5400.99
91,5315.45
92,5310.48
93,5242.42
94,5225.72
95,5182.42
96,5145.92
97,5124.44
98,5069.56
99,5069.98
100,5008.03
101,5021.69
102,4957.92
103,4968.87
104,4912.45
105,4916.52
106,4882.4
107,4878.05
108,4866.49
109,4846.63
110,4849.07
111,4816.14
112,4832.64
113,4798.18
114,4824.78
115,4792.93
116,4817.37
117,4791.22
118,4809.46
119,4798.55
120,4809.09
121,4814.47
122,4811.21
123,4828.38
124,4812.97
125,4842.68
126,4824.13
127,4861.24
128,4842.2
129,4873.27
130,4856.98
131,4877.34
132,4873.95
133,4883.78
134,4895.52
135,4891.15
136,4910.76
137,4892.64
138,4916.19
139,4892.86
140,4916.97
141,4893.83
142,4910.13
143,4889.46
144,4893.86
145,4880.36
146,4871.98
147,4865.52
148,4842.5
149,4839.49
150,4804.02
151,4803.49
152,4762.43
153,4761.15
154,4718.21
155,4708.11
156,4665.31
157,4642.91
158,4605.88
159,4571.3
160,4541.51
161,4494.97
162,4469.85
163,4414.22
164,4390.15
165,4330.44
166,4303.4
167,4243.9
168,4209.75
169,4154.25
170,4112.38
171,4064.32
172,4015.44
173,3974.34
174,3918.91
175,3881.57
176,3821.53
177,3786.02
178,3725.82
179,3690.84
180,3633.83
181,3596.61
182,3545.17
183,3504.57
184,3460.3
185,3415.65
186,3377.85
187,3329.46
188,3297.34
189,3248.61
190,3221.53
191,3175.69
192,3150.59
193,3109.08
194,3082.47
195,3046.41
196,3017.48
197,2988.69
198,2958.73
199,2937.6
200,2907.5
201,2891.93
202,2862.66
203,2850.15
204,2823.44
205,2812.33
206,2790.05
207,2779.09
208,2762.7
209,2751.51
210,2741.75
211,2729.93
212,2725.43
213,2712.47
214,2711.68
215,2699.1
216,2701.41
217,2691.79
218,2695.78
219,2689.98
220,2692.9
221,2691.01
222,2691.8
223,2694.81
224,2694.25
225,2701.95
226,2700.51
227,2710.71
228,2708.65
229,2719.3
230,2718.73
231,2729.03
232,2731.43
233,2739.63
234,2744.73
235,2749.71
236,2757.32
237,2759.66
238,2769.68
239,2770.2
240,2780.96
241,2780.21
242,2790.09
243,2789.27
244,2797.09
245,2797.39
246,2802.17
247,2803.91
248,2804.74
249,2807.44
250,2804.09
251,2807.23
252,2800.56
253,2803.07
254,2794
255,2794.53
256,2784.4
257,2782.2
258,2772.65
259,2767.22
260,2758.76
261,2749.4
262,2741.78
263,2729.07
264,2722.4
265,2707.51
266,2700.76
267,2684.47
268,2676.33
269,2659.71
270,2649.62
271,2634.15
272,2621.94
273,2608.13
274,2593.37
275,2580.88
276,2563.69
277,2552.2
278,2533.8
279,2523.11
280,2504.49
281,2493.29
282,2474.85
283,2462.1
284,2444.8
285,2430.55
286,2415.26
287,2399.51
288,2386.1
289,2369.05
290,2357.19
291,2339.72
292,2328.9
293,2311.93
294,2301.59
295,2286
296,2275.34
297,2261.49
298,2249.89
299,2237.85
300,2225.27
301,2215.28
302,2202.32
303,2194.13
304,2181.14
305,2173.77
306,2160.88
307,2153.32
308,2141.15
309,2133.05
310,2122.16
311,2113.04
312,2103.39
313,2092.93
314,2084.32
315,2072.75
316,2065.05
317,2052.94
318,2045.69
319,2033.74
320,2026.42
321,2015.19
322,2007.26
323,1997.04
324,1987.97
325,1978.66
326,1968.38
327,1959.96
328,1948.85
329,1941.17
330,1929.57
331,1921.88
332,1909.99
333,1901.61
334,1889.54
335,1879.82
336,1867.76
337,1856.6
338,1845.07
339,1832.8
340,1821.98
341,1808.72
342,1798.2
343,1784.24
344,1773.77
345,1759.91
346,1749.43
347,1736.28
348,1725.3
349,1712.87
350,1700.98
351,1689.39
352,1676.98
353,1666.47
354,1653.91
355,1644.09
356,1631.41
357,1621.6
358,1609.04
359,1599.08
360,1587.12
361,1576.82
362,1565.39
363,1554.39
364,1543.64
365,1532.34
366,1522.78
367,1511.8
368,1503.34
369,1492.74
370,1484.85
371,1474.85
372,1467.38
373,1458.61
374,1451.53
375,1444.1
376,1437.06
377,1430.7
378,1423.67
379,1418.43
380,1411.79
381,1407.47
382,1401.25
383,1397.21
384,1391.34
385,1387.44
386,1382.52
387,1379.04
388,1375.5
389,1372.65
390,1371.09
391,1370.18
392,1372.66
393,1376.32
394,1384.5
395,1392.48
396,1401.92
397,1405.93
398,1405.08
399,1395.76
400,1382.55
401,1368.92
402,1359.75
403,1356.47
404,1354.87
405,1352.5
406,1345.26
407,1338.8
408,1333.37
409,1332.52
410,1329.83
411,1326.35
412,1321.35
413,1319.48
414,1318.69
415,1316.67
416,1313.41
417,1310.41
418,1310.03
419,1307.86
420,1305.48
421,1301.74
422,1300.52
423,1297.34
424,1294.32
425,1290.69
426,1288.47
427,1285.07
428,1280.94
429,1277.46
430,1273.35
431,1269.53
432,1264.51
433,1260.9
434,1255.32
435,1250.63
436,1244.63
437,1239.22
438,1232.66
439,1226.54
440,1219.77
441,1212.23
442,1204.95
443,1196.59
444,1188.56
445,1179.48
446,1171.3
447,1161.37
448,1152.49
449,1142.47
450,1132.76
451,1122.51
452,1112.63
453,1102.22
454,1091.59
455,1081.36
456,1070.1
457,1059.68
458,1048.42
459,1037.77
460,1026.1
461,1015.23
462,1003.19
463,991.779
464,979.901
465,968.108
466,956.328
467,944.36
468,932.642
469,920.55
470,909.186
471,897.156
472,885.959
473,874.025
474,862.731
475,850.891
476,839.623
477,828.007
478,816.66
479,805.287
480,793.731
481,782.529
482,771.036
483,760.116
484,748.879
485,738.257
486,727.189
487,716.807
488,706.056
489,695.921
490,685.701
491,675.708
492,665.919
493,655.938
494,646.245
495,636.27
496,626.638
497,616.715
498,607.23
499,597.357
500,587.994
501,578.36
502,569.204
503,560.062
504,551.168
505,542.527
506,533.821
507,525.433
508,516.874
509,508.644
510,500.2
511,492.011
512,483.537
513,475.365
514,466.995
515,459.002
516,451.024
517,443.309
518,435.762
519,428.255
520,421.042
521,413.769
522,406.882
523,399.917
524,393.294
525,386.544
526,380.028
527,373.399
528,366.972
529,360.569
530,354.354
531,348.269
532,342.267
533,336.499
534,330.741
535,325.345
536,319.936
537,314.9
538,309.836
539,305.05
540,300.254
541,295.622
542,291.042
543,286.535
544,282.142
545,277.766
546,273.563
547,269.41
548,265.516
549,261.689
550,258.142
551,254.633
552,251.355
553,248.095
554,245.027
555,242.01
556,239.137
557,236.348
558,233.626
559,231.052
560,228.505
561,226.186
562,223.885
563,221.84
564,219.805
565,217.991
566,216.195
567,214.571
568,213.022
569,211.57
570,210.226
571,208.891
572,207.676
573,206.42
574,205.324
